timestamp,open,high,low,close,volume
2026-08-28 05:00:00+00:00,79649.23,79751.44,79559.95,79737.26,81.58628739
2026-08-28 05:30:00+00:00,79737.25,79887.78,79649.23,79693.73,76.02190938
2026-08-28 06:00:00+00:00,79693.73,79928.65,79693.73,79838.08,63.00334616
2026-08-28 06:30:00+00:00,79838.08,80000.0,79805.0,79909.08,48.4300799
2026-08-28 07:00:00+00:00,79909.08,79909.09,79666.0,79808.42,53.15031762
2026-08-28 07:30:00+00:00,79808.43,79818.21,79595.0,79684.34,67.88353015
2026-08-28 08:00:00+00:00,79684.34,79857.95,79684.34,79788.39,41.31788763
2026-08-28 08:30:00+00:00,79788.38,79824.27,79487.0,79520.05,110.89876629
2026-08-28 09:00:00+00:00,79520.05,79523.36,79260.25,79393.59,104.20709209
2026-08-28 09:30:00+00:00,79393.59,79453.42,79279.16,79292.99,72.78332362
2026-08-28 10:00:00+00:00,79293.0,79317.11,79007.22,79306.58,127.9925968
2026-08-28 10:30:00+00:00,79306.58,79576.91,79293.83,79568.62,62.82299005
2026-08-28 11:00:00+00:00,79572.68,79779.37,79553.26,79673.04,67.04063784
2026-08-28 11:30:00+00:00,79673.04,79744.54,79555.34,79606.02,36.51451837
2026-08-28 12:00:00+00:00,79606.02,79723.36,79520.0,79523.5,67.48522574
2026-08-28 12:30:00+00:00,79523.5,79539.69,79296.09,79417.59,86.95048657
2026-08-28 13:00:00+00:00,79408.95,79486.0,79110.92,79205.99,144.17462209
2026-08-28 13:30:00+00:00,79205.99,79565.48,79029.17,79341.08,434.20481993
2026-08-28 14:00:00+00:00,79349.25,79747.06,78432.0,78945.68,1174.23396596
2026-08-28 14:30:00+00:00,78945.69,79716.69,78849.98,79560.96,732.69115064
2026-08-28 15:00:00+00:00,79573.35,79865.53,79254.49,79352.97,371.53330699
2026-08-28 15:30:00+00:00,79352.97,79363.51,78306.22,78324.23,622.81245259
2026-08-28 16:00:00+00:00,78324.22,78400.0,76845.71,77515.98,1267.28199861
2026-08-28 16:30:00+00:00,77515.98,77999.25,77495.05,77782.54,313.37360046
