timestamp,open,high,low,close,volume,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_histogram,atr_14,volume_sma_20,volume_ratio,price_change_pct
2026-08-29 05:30:00+00:00,77661.44,77717.57,77599.51,77635.43,23.6326453,77637.965,78454.7616,77666.51776089334,77859.6355438765,41.33174978259026,-193.11778298315767,-250.46339236497485,57.345609381817184,226.75083617613578,78.74995159049999,0.3000972676515388,-0.03349152423649526
2026-08-29 06:00:00+00:00,77635.42,77641.27,77348.65,77404.83,152.73152446,77633.541,78408.11300000001,77626.2581053713,77825.9462443301,35.4774297541954,-199.68813895880885,-240.30834168374167,40.620202724932824,231.45577644926965,73.035732839,2.0911890457330173,-0.29702933312791835
2026-08-29 06:30:00+00:00,77404.83,77486.92,77403.28,77459.98,19.011998,77636.29049999999,78363.438,77600.67685839109,77798.83763363898,37.748413315474295,-198.16077524788852,-231.87882839657107,33.71805314868254,220.8975067028932,65.83754048149999,0.2887713887997118,0.07124878382911426
2026-08-29 07:00:00+00:00,77459.99,77534.72,77433.28,77520.47,19.52053621,77642.47,78317.0858,77588.33734171554,77778.21780892498,40.233177891396885,-189.88046720944112,-223.47915615914508,33.598688949703956,212.3648276526867,63.6964300195,0.3064620137113491,0.07809193857266639
2026-08-29 07:30:00+00:00,77520.47,77672.41,77495.04,77619.0,65.44327279,77655.146,78271.2842,77593.0546737593,77766.42389715275,44.14405195116901,-173.3692233934562,-213.4571696060073,40.08794621255112,209.86519710606692,64.3529037595,1.0169435871079715,0.12710191256579684
2026-08-29 08:00:00+00:00,77619.0,77619.26,77469.95,77594.12,38.3338082,77655.966,78226.9982,77593.21857010401,77753.6606455118,43.37227388016763,-160.44207540778734,-202.85415076636332,42.412075358575976,205.53982588420484,60.317641065,0.6355322841403961,-0.03205400739509923
2026-08-29 08:30:00+00:00,77594.12,77641.79,77506.04,77641.79,28.83082229,77650.5885,78186.14719999999,77600.69109778032,77745.37393102945,45.34396036354177,-144.68283324912773,-191.21988726291622,46.53705401378849,200.55483832104736,56.239524491500006,0.5126434220537812,0.06143506750253547
2026-08-29 09:00:00+00:00,77641.78,77680.87,77550.19,77632.92,49.94890961,77648.1375,78143.0378,77605.6493904295,77737.04401021246,45.029785262476295,-131.39461978295003,-179.25483376692299,47.860213983972955,195.56377844097204,54.259986297,0.9205477741294905,-0.011424260053760626
2026-08-29 09:30:00+00:00,77632.92,77752.51,77621.51,77642.41,33.44503101,77638.2985,78105.485,77611.30486882497,77730.03408353004,45.46515046054529,-118.72921470507572,-167.14970995455354,48.420495249477824,190.95207998090262,52.9166400135,0.632032400422014,0.012224195611865163
2026-08-29 10:00:00+00:00,77642.41,77720.03,77505.65,77665.13,34.16905901,77626.8225,78070.9158,77619.58565823651,77725.22637363893,46.55646083722203,-105.64071540242003,-154.84791104412685,49.20719564170682,192.6255028394099,50.338310117999995,0.6787883607912736,0.029262358033443903
2026-08-29 10:30:00+00:00,77665.13,77729.76,77628.46,77628.46,28.89402944,77621.521,78037.6252,77620.95094158474,77718.05849411013,44.991540288481744,-97.10755252538365,-143.2998393403782,46.19228681499456,186.10225263659407,47.9449783165,0.6026497550851176,-0.04721552645311489
2026-08-29 11:00:00+00:00,77628.46,77728.69,77614.08,77680.5,27.30523141,77615.914,78005.1036,77630.11233518709,77715.2763834353,47.67933827489422,-85.16404824820347,-131.67268112194327,46.5086328737398,180.99566316255166,45.311040856,0.6026176157986954,0.06703726957870693
2026-08-29 11:30:00+00:00,77688.87,77700.0,77536.33,77581.75,126.48440575,77605.3995,77965.3662,77622.67197592754,77705.38554021786,43.350732090181666,-82.71356429031584,-121.8808577556178,39.16729346530195,179.75811579379783,50.4553094825,2.5068601708581344,-0.12712328061740275
2026-08-29 12:00:00+00:00,77581.74,77658.54,77530.51,77583.81,24.60437902,77602.9255,77923.5816,77616.69321040023,77696.37994464616,43.46603548592762,-79.68673424592998,-113.44203305368023,33.75529880775025,176.06325037995504,49.359038661,0.498477678809426,0.002655263641249128
2026-08-29 12:30:00+00:00,77583.8,77599.99,77495.4,77584.62,34.73317948,77598.752,77883.1536,77611.75887033866,77688.10143022794,43.514719409085096,-76.34255988927907,-106.0221384208,29.67957853152093,170.95801820995902,49.2567605545,0.7051454275311015,0.0010440322536275914
2026-08-29 13:00:00+00:00,77584.62,77720.03,77557.33,77653.08,39.36723739,77597.066,77845.74519999999,77618.11596720964,77685.50725021106,47.62030973705029,-67.39128300141601,-98.29596733692321,30.9046843355072,170.3681597663903,48.9105266245,0.8048827135359522,0.08823913811784045
2026-08-29 13:30:00+00:00,77643.54,77719.99,77615.03,77692.76,30.29490985,77606.573,77811.2486,77629.599664562,77686.04449093617,49.89359039847794,-56.44482637416513,-89.9257391443716,33.48091277020647,165.69614835450574,43.68422039,0.6934977797368447,0.05109906780258466
2026-08-29 14:00:00+00:00,77692.76,77750.0,77650.22,77693.09,72.17474165,77610.8005,77780.99059999999,77639.36740847555,77686.56638049646,49.91305930666587,-47.19897202090942,-81.38038571967917,34.181413698769745,160.98785204346953,45.957091094999996,1.5704810711540533,0.0004247500024368023
2026-08-29 14:30:00+00:00,77693.1,78164.0,77675.99,78001.56,150.11781857,77628.8575,77754.20019999999,77695.08934563315,77709.89924120042,63.9957527421137,-14.809895567261265,-68.06628768919559,53.256392121934326,184.34657689750705,51.331073465500005,2.924501835538181,0.39703659617604803
2026-08-29 15:00:00+00:00,78001.56,78013.61,77831.84,77894.03,90.95992522,77640.487,77733.16720000001,77725.69560015113,77723.53855666704,57.885840673731565,2.1570434840832604,-54.021621454539826,56.178664938623086,184.16253569054257,54.500173233,1.6689841485664036,-0.13785621723463315
2026-08-29 15:30:00+00:00,77894.02,77936.73,77797.46,77855.58,89.43003939,77651.4945,77699.0596,77745.67781551249,77733.31940432134,55.83313262373709,12.358411191147752,-40.745614925402315,53.10402611655007,180.95592599836021,57.790042937500004,1.5474990992257731,-0.04936193441268388
2026-08-29 16:00:00+00:00,77855.57,78116.61,77845.97,77950.11,96.91272982,77678.7585,77671.0024,77777.12892081826,77749.37796696421,59.623980358545175,27.75095385404711,-27.046301169512432,54.79725502355954,187.36193128419157,54.9991032055,1.7620783644033775,0.12141711615274442
2026-08-29 16:30:00+00:00,77950.12,78096.03,77884.5,78019.48,63.55957465,77706.7335,77664.9074,77814.41370223083,77769.38552496686,62.188745210747946,45.028177263971884,-12.63140548281557,57.65958274678745,189.08822190674923,57.22648203800001,1.1106671664316992,0.08899281861178832
2026-08-29 17:00:00+00:00,78019.47,78106.25,77972.45,77981.65,37.79270458,77729.79250000001,77674.2208,77840.14236342609,77785.10881941376,59.952195911640345,55.03354401233082,0.901584416213708,54.13195959611711,185.13906319912448,58.140090456500005,0.6500283072018305,-0.04848789046018043
2026-08-29 17:30:00+00:00,77981.65,78098.42,77884.1,78096.41,84.90531427,77753.663,77680.4982,77879.56815366822,77808.16816612385,64.16275857873848,71.39998754436965,15.001265041844897,56.398722502524755,187.2234158277579,59.1131925305,1.4363175229656615,0.1471628261264124
2026-08-29 18:00:00+00:00,78096.41,78158.86,78016.09,78050.0,45.28334284,77776.457,77682.8052,77905.78843771927,77826.08163529987,61.35340865999978,79.70680241940136,27.94237251735619,51.764429902045165,184.0481718400612,59.46066926249999,0.7615679978321201,-0.05942654726383001
2026-08-29 18:30:00+00:00,78050.01,78270.98,78007.88,78153.0,91.13811927,77802.01749999999,77687.8404,77943.82098576246,77850.29781046284,65.01458142163534,93.52317529961874,41.058533073808704,52.46464222581004,189.6947309943419,62.57603411149999,1.456438084708391,0.1319666880204906
2026-08-29 19:00:00+00:00,78152.99,78334.44,78152.99,78249.59,82.58151818,77832.851,77701.5424,77990.86237256824,77879.87500968782,68.06946618048417,110.98736288041982,55.04429903513093,55.94306384528889,189.105821637603,64.20766454000001,1.2861629335319225,0.12359090501963266
2026-08-29 19:30:00+00:00,78249.58,78271.54,78125.11,78193.6,86.74033285,77860.4105,77714.52160000001,78022.0527767885,77903.11389785909,64.55084376037627,118.93887892941711,67.82321501398818,51.11566391542894,186.05754866348798,66.872429632,1.2971015607976766,-0.07155309056570136
