timestamp,open,high,low,close,volume
2026-09-09 16:30:00+00:00,78616.0,78901.04,78616.0,78783.18,79.89095576
2026-09-09 17:00:00+00:00,78783.18,78916.64,78697.06,78839.62,116.12372652
2026-09-09 17:30:00+00:00,78839.63,78848.47,78654.86,78754.89,101.25937836
2026-09-09 18:00:00+00:00,78754.88,78774.72,78550.0,78614.75,80.71285274
2026-09-09 18:30:00+00:00,78605.75,78634.57,78379.86,78399.35,122.12252898
2026-09-09 19:00:00+00:00,78399.34,78570.83,78328.32,78512.5,80.43364507
2026-09-09 19:30:00+00:00,78512.49,78539.48,78133.03,78212.95,119.23597457
2026-09-09 20:00:00+00:00,78211.64,78325.0,77915.58,78098.1,169.2994191
2026-09-09 20:30:00+00:00,78096.93,78318.4,78074.75,78303.89,83.69806938
2026-09-09 21:00:00+00:00,78304.44,78323.32,78113.61,78264.82,61.31730902
2026-09-09 21:30:00+00:00,78263.59,78263.59,77981.12,78128.28,59.91830757
2026-09-09 22:00:00+00:00,78132.81,78182.72,77727.0,78016.47,84.53093179
2026-09-09 22:30:00+00:00,78016.48,78041.3,77881.87,77892.29,69.18701885
2026-09-09 23:00:00+00:00,77892.24,78184.03,77892.24,78169.59,44.28528325
2026-09-09 23:30:00+00:00,78169.6,78298.55,78151.34,78283.98,34.45162245
2026-09-10 00:00:00+00:00,78283.98,78353.09,78194.48,78299.3,87.11252934
2026-09-10 00:30:00+00:00,78294.12,78297.72,78060.08,78151.72,60.66313359
2026-09-10 01:00:00+00:00,78151.72,78487.38,78139.85,78145.52,78.96996453
2026-09-10 01:30:00+00:00,78145.52,78224.75,77901.39,78070.4,75.36743817
2026-09-10 02:00:00+00:00,78070.4,78079.44,77939.19,77991.87,55.59546058
2026-09-10 02:30:00+00:00,77991.87,78346.19,77978.0,78326.1,76.4653579
2026-09-10 03:00:00+00:00,78326.11,78518.33,78270.01,78357.79,64.91153618
2026-09-10 03:30:00+00:00,78357.79,78427.08,78242.04,78297.16,54.08595919
2026-09-10 04:00:00+00:00,78297.15,78397.76,78271.73,78354.09,31.27708814
2026-09-10 04:30:00+00:00,78354.09,78407.04,78270.98,78368.72,51.38337747
2026-09-10 05:00:00+00:00,78368.73,78485.0,78241.77,78447.31,74.20171738
